"회계연도","지역명","자치단체코드","자치단체명","분야코드","분야명","부문코드","부문명","정책사업예산총계","행정운영경비총계","재무활동총계","정책사업예산순계","재무활동순계","행정운영경비순계"
"2017","서울","1100000","서울본청","010","일반공공행정","011","입법및선거관리","23599883000","0","0","23599883000","0","0"
"2017","서울","1100000","서울본청","010","일반공공행정","013","지방행정ㆍ재정지원","4024329604000","1992000","0","0","1992000","0"
"2017","서울","1100000","서울본청","010","일반공공행정","014","재정ㆍ금융","203715495000","16211258000","0","203715495000","16211258000","0"
"2017","서울","1100000","서울본청","010","일반공공행정","016","일반행정","607505804000","3430808000","0","548155297000","3430808000","0"
"2017","서울","1100000","서울본청","020","공공질서및안전","023","경찰","1409269000","0","0","1409269000","0","0"
"2017","서울","1100000","서울본청","020","공공질서및안전","025","재난방재ㆍ민방위","31236247000","141000","0","27200135000","141000","0"
"2017","서울","1100000","서울본청","020","공공질서및안전","026","소방","0","743240347000","0","0","0","0"
"2017","서울","1100000","서울본청","050","교육","051","유아및초중등교육","3069982864000","0","0","3055022386000","0","0"
"2017","서울","1100000","서울본청","050","교육","052","고등교육","0","0","0","0","0","0"
"2017","서울","1100000","서울본청","050","교육","053","평생ㆍ직업교육","13416131000","0","0","13264131000","0","0"
"2017","서울","1100000","서울본청","060","문화및관광","061","문화예술","248499675000","0","0","198121987000","0","0"
"2017","서울","1100000","서울본청","060","문화및관광","062","관광","74081544000","2000","0","54808917000","2000","0"
"2017","서울","1100000","서울본청","060","문화및관광","063","체육","134710684000","8045834000","0","114782041000","8045834000","0"
"2017","서울","1100000","서울본청","060","문화및관광","064","문화재","67128308000","0","0","45704379000","0","0"
"2017","서울","1100000","서울본청","060","문화및관광","065","문화및관광일반","46619508000","0","0","44289498000","0","0"
"2017","서울","1100000","서울본청","070","환경보호","071","상하수도ㆍ수질","21546216000","0","0","18252166000","0","0"
"2017","서울","1100000","서울본청","070","환경보호","072","폐기물","105074233000","43447432000","0","77243646000","43447432000","0"
"2017","서울","1100000","서울본청","070","환경보호","073","대기","150137161000","2576963000","0","146350061000","2576963000","0"
"2017","서울","1100000","서울본청","070","환경보호","074","자연","49176112000","132871000","0","44294048000","132871000","0"
"2017","서울","1100000","서울본청","070","환경보호","076","환경보호일반","100599105000","229288000","0","83912206000","229288000","0"
"2017","서울","1100000","서울본청","080","사회복지","082","취약계층지원","1786184625000","501546990000","0","499885543000","13128496000","0"
"2017","서울","1100000","서울본청","080","사회복지","084","보육ㆍ가족및여성","2182499486000","3427914000","0","282688199000","3427914000","0"
"2017","서울","1100000","서울본청","080","사회복지","085","노인ㆍ청소년","1870481661000","10002722000","0","333387498000","10002722000","0"
"2017","서울","1100000","서울본청","080","사회복지","086","노동","178336658000","402337000","0","125482077000","402337000","0"
"2017","서울","1100000","서울본청","080","사회복지","088","주택","253655938000","121616300000","0","38448957000","4450000000","0"
"2017","서울","1100000","서울본청","080","사회복지","089","사회복지일반","30985804000","190938000","0","10373804000","190938000","0"
"2017","서울","1100000","서울본청","090","보건","091","보건의료","403778445000","1144252000","0","167108515000","1144252000","0"
"2017","서울","1100000","서울본청","090","보건","093","식품의약안전","9243611000","220380000","0","3672286000","220380000","0"
"2017","서울","1100000","서울본청","100","농림해양수산","101","농업ㆍ농촌","22776993000","15863000","0","15105557000","15863000","0"
"2017","서울","1100000","서울본청","110","산업ㆍ중소기업","111","산업금융지원","0","0","0","0","0","0"
"2017","서울","1100000","서울본청","110","산업ㆍ중소기업","113","무역및투자유치","12031739000","2000000000","0","12031739000","2000000000","0"
"2017","서울","1100000","서울본청","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","186483447000","71813000","0","150496638000","71813000","0"
"2017","서울","1100000","서울본청","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","2451607000","0","0","2136952000","0","0"
"2017","서울","1100000","서울본청","120","수송및교통","121","도로","203446792000","0","0","157661844000","0","0"
"2017","서울","1100000","서울본청","120","수송및교통","123","도시철도","0","0","0","0","0","0"
"2017","서울","1100000","서울본청","120","수송및교통","126","대중교통ㆍ물류등기타","0","704440910000","0","0","6424000000","0"
"2017","서울","1100000","서울본청","140","국토및지역개발","141","수자원","103799679000","100500000000","0","99896579000","100500000000","0"
"2017","서울","1100000","서울본청","140","국토및지역개발","142","지역및도시","206128407000","937387825000","0","171876793000","57425000","0"
"2017","서울","1100000","서울본청","140","국토및지역개발","143","산업단지","1707055000","0","0","1707055000","0","0"
"2017","서울","1100000","서울본청","150","과학기술","153","과학기술일반","2220242000","0","0","2220242000","0","0"
"2017","서울","1100000","서울본청","160","예비비","161","예비비","175502025000","0","0","175502025000","0","0"
"2017","서울","1100000","서울본청","900","기타","901","기타","0","3571016000","831471150000","44956180000","3571016000","831471150000"
"2017","서울","1100000","서울본청","010","일반공공행정","014","재정ㆍ금융","0","79887500000","0","0","0","0"
"2017","서울","1100000","서울본청","010","일반공공행정","016","일반행정","15868627000","0","0","15868627000","0","0"
"2017","서울","1100000","서울본청","020","공공질서및안전","026","소방","187960453000","139392000","0","187939626000","139392000","0"
"2017","서울","1100000","서울본청","060","문화및관광","061","문화예술","10235463000","0","0","7757463000","0","0"
"2017","서울","1100000","서울본청","060","문화및관광","062","관광","0","0","0","0","0","0"
"2017","서울","1100000","서울본청","060","문화및관광","063","체육","0","0","0","0","0","0"
"2017","서울","1100000","서울본청","060","문화및관광","064","문화재","57142857000","0","0","57142857000","0","0"
"2017","서울","1100000","서울본청","060","문화및관광","065","문화및관광일반","62355650000","0","0","62355650000","0","0"
"2017","서울","1100000","서울본청","070","환경보호","071","상하수도ㆍ수질","758485081000","29189625000","0","753955081000","5989000000","0"
"2017","서울","1100000","서울본청","070","환경보호","072","폐기물","11997600000","0","0","11997600000","0","0"
"2017","서울","1100000","서울본청","070","환경보호","073","대기","0","0","0","0","0","0"
"2017","서울","1100000","서울본청","070","환경보호","074","자연","0","0","0","0","0","0"
"2017","서울","1100000","서울본청","080","사회복지","082","취약계층지원","978864103000","0","0","964531457000","0","0"
"2017","서울","1100000","서울본청","080","사회복지","085","노인ㆍ청소년","15856032000","0","0","7488000000","0","0"
"2017","서울","1100000","서울본청","080","사회복지","088","주택","1077786859000","485214248000","0","1056457877000","365208328000","0"
"2017","서울","1100000","서울본청","090","보건","091","보건의료","0","0","0","0","0","0"
"2017","서울","1100000","서울본청","100","농림해양수산","101","농업ㆍ농촌","5613000000","0","0","5613000000","0","0"
"2017","서울","1100000","서울본청","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","0","0","0","0","0","0"
"2017","서울","1100000","서울본청","120","수송및교통","121","도로","703993872000","145232000","0","702887551000","145232000","0"
"2017","서울","1100000","서울본청","120","수송및교통","123","도시철도","440482077000","638575171000","0","440482077000","638575171000","0"
