,시군구,광역자치단체
0,가평군,경기도
1,강남구,서울특별시
2,강동구,서울특별시
3,강릉시,강원도
4,강북구,서울특별시
5,강서구,부산광역시
6,강서구,서울특별시
7,강진군,전라남도
8,강화군,인천광역시
9,거제시,경상남도
10,거창군,경상남도
11,경산시,경상북도
12,경주시,경상북도
13,계룡시,충청남도
14,계양구,인천광역시
15,고령군,경상북도
16,고성군,강원도
17,고성군,경상남도
18,고양시,경기도
19,고창군,전라북도
20,고흥군,전라남도
21,곡성군,전라남도
22,공주시,충청남도
23,과천시,경기도
24,관악구,서울특별시
25,광명시,경기도
26,광산구,광주광역시
27,광양시,전라남도
28,광주시,경기도
29,광진구,서울특별시
30,괴산군,충청북도
31,구례군,전라남도
32,구로구,서울특별시
33,구리시,경기도
34,구미시,경상북도
35,군산시,전라북도
36,군위군,경상북도
37,군포시,경기도
38,금산군,충청남도
39,금정구,부산광역시
40,금천구,서울특별시
41,기장군,부산광역시
42,김제시,전라북도
43,김천시,경상북도
44,김포시,경기도
45,김해시,경상남도
46,나주시,전라남도
47,남구,광주광역시
48,남구,대구광역시
49,남구,부산광역시
50,남구,울산광역시
51,남동구,인천광역시
52,남양주시,경기도
53,남원시,전라북도
54,남해군,경상남도
55,노원구,서울특별시
56,논산시,충청남도
57,단양군,충청북도
58,달서구,대구광역시
59,달성군,대구광역시
60,담양군,전라남도
61,당진시,충청남도
62,대덕구,대전광역시
63,도봉구,서울특별시
64,동대문구,서울특별시
65,동구,광주광역시
66,동구,대구광역시
67,동구,대전광역시
68,동구,부산광역시
69,동구,울산광역시
70,동구,인천광역시
71,동두천시,경기도
72,동래구,부산광역시
73,동작구,서울특별시
74,동해시,강원도
75,마포구,서울특별시
76,목포시,전라남도
77,무안군,전라남도
78,무주군,전라북도
79,문경시,경상북도
80,미추홀구,인천광역시
81,밀양시,경상남도
82,보령시,충청남도
83,보성군,전라남도
84,보은군,충청북도
85,봉화군,경상북도
86,부산진구,부산광역시
87,부안군,전라북도
88,부여군,충청남도
89,부천시,경기도
90,부평구,인천광역시
91,북구,광주광역시
92,북구,대구광역시
93,북구,부산광역시
94,북구,울산광역시
95,사상구,부산광역시
96,사천시,경상남도
97,사하구,부산광역시
98,산청군,경상남도
99,삼척시,강원도
100,상주시,경상북도
101,서구,광주광역시
102,서구,대구광역시
103,서구,대전광역시
104,서구,부산광역시
105,서구,인천광역시
106,서귀포시,제주특별자치도
107,서대문구,서울특별시
108,서산시,충청남도
109,서천군,충청남도
110,서초구,서울특별시
111,성남시,경기도
112,성동구,서울특별시
113,성북구,서울특별시
114,성주군,경상북도
115,세종특별자치시,-
116,속초시,강원도
117,송파구,서울특별시
118,수성구,대구광역시
119,수영구,부산광역시
120,수원시,경기도
121,순창군,전라북도
122,순천시,전라남도
123,시흥시,경기도
124,신안군,전라남도
125,아산시,충청남도
126,안동시,경상북도
127,안산시,경기도
128,안성시,경기도
129,안양시,경기도
130,양구군,강원도
131,양산시,경상남도
132,양양군,강원도
133,양주시,경기도
134,양천구,서울특별시
135,양평군,경기도
136,여수시,전라남도
137,여주시,경기도
138,연수구,인천광역시
139,연제구,부산광역시
140,연천군,경기도
141,영광군,전라남도
142,영덕군,경상북도
143,영도구,부산광역시
144,영동군,충청북도
145,영등포구,서울특별시
146,영양군,경상북도
147,영월군,강원도
148,영암군,전라남도
149,영주시,경상북도
150,영천시,경상북도
151,예산군,충청남도
152,예천군,경상북도
153,오산시,경기도
154,옥천군,충청북도
155,옹진군,인천광역시
156,완도군,전라남도
157,완주군,전라북도
158,용산구,서울특별시
159,용인시,경기도
160,울릉군,경상북도
161,울주군,울산광역시
162,울진군,경상북도
163,원주시,강원도
164,유성구,대전광역시
165,은평구,서울특별시
166,음성군,충청북도
167,의령군,경상남도
168,의성군,경상북도
169,의왕시,경기도
170,의정부시,경기도
171,이천시,경기도
172,익산시,전라북도
173,인제군,강원도
174,임실군,전라북도
175,장성군,전라남도
176,장수군,전라북도
177,장흥군,전라남도
178,전주시,전라북도
179,정선군,강원도
180,정읍시,전라북도
181,제주시,제주특별자치도
182,제천시,충청북도
183,종로구,서울특별시
184,중구,대구광역시
185,중구,대전광역시
186,중구,부산광역시
187,중구,서울특별시
188,중구,울산광역시
189,중구,인천광역시
190,중랑구,서울특별시
191,증평군,충청북도
192,진도군,전라남도
193,진안군,전라북도
194,진주시,경상남도
195,진천군,충청북도
196,창녕군,경상남도
197,창원시,경상남도
198,천안시,충청남도
199,철원군,강원도
200,청도군,경상북도
201,청송군,경상북도
202,청양군,충청남도
203,청주시,충청북도
204,춘천시,강원도
205,충주시,충청북도
206,칠곡군,경상북도
207,태백시,강원도
208,태안군,충청남도
209,통영시,경상남도
210,파주시,경기도
211,평창군,강원도
212,평택시,경기도
213,포천시,경기도
214,포항시,경상북도
215,하남시,경기도
216,하동군,경상남도
217,함안군,경상남도
218,함양군,경상남도
219,함평군,전라남도
220,합천군,경상남도
221,해남군,전라남도
222,해운대구,부산광역시
223,홍성군,충청남도
224,홍천군,강원도
225,화성시,경기도
226,화순군,전라남도
227,화천군,강원도
228,횡성군,강원도
